source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
"Donald J. Trump,Daniel Scavino Jr.",Daniel Scavino Jr.,"27,февраля,в,19:48",En route to the Hanoi Summit earlier this evening in Vietnam....,25 тыс.,21 тыс.,215,3 тыс.,770,9,28,Комментарии: 2 074,/story.php?story_fbid=10162216764015725&id=153080620724
Donald J. Trump,,"27,февраля,в,06:14","""The setting of President Trump’s second summit with North Korean leader Kim Jong Un offers a symbolic reminder of how much the two leaders can accomplish.""",54 тыс.,49 тыс.,870,4 тыс.,199,14,73,Комментарии: 3 897,/story.php?story_fbid=10162214279570725&id=153080620724
Donald J. Trump,,"27,февраля,в,01:51","""The automaker says it will hire 6,500 workers and invest $4.5 billion by adding a new assembly plant in Detroit and boosting production at five existing factories.""",60 тыс.,53 тыс.,225,"6,2 тыс.",815,6,22,Комментарии: 3 426,/story.php?story_fbid=10162213474230725&id=153080620724
Donald J. Trump,,"26,февраля,в,22:02","It is my honor to announce that Danny Burch, a United States citizen who has been held hostage in Yemen for 18 months, has been recovered and reunited with his wife and children.",98 тыс.,79 тыс.,247,18 тыс.,678,8,34,Комментарии: 5 215,/story.php?story_fbid=10162212867190725&id=153080620724
Donald J. Trump,,"27,февраля,в,04:01",In Vietnam for my meeting with Kim Jong Un. Looking forward to a very productive Summit!,99 тыс.,85 тыс.,1 тыс.,12 тыс.,460,18,61,Комментарии: 7 776,/story.php?story_fbid=10162213874975725&id=153080620724
Donald J. Trump,,"26,февраля,в,04:45",At the end of the last administration we were heading for a total disaster with North Korea! Today we have a much different situation.,35 тыс.,28 тыс.,"2,1 тыс.","4,7 тыс.",61,16,44,Комментарии: 4 248,/story.php?story_fbid=10162209167315725&id=153080620724
Donald J. Trump,,"26,февраля,в,03:08","We will be having ""A Salute To America"" gathering on July 4th in Washington, D.C. at the Lincoln Memorial. Hold the date!",42 тыс.,32 тыс.,1 тыс.,"8,7 тыс.",143,9,39,Комментарии: 3 603,/story.php?story_fbid=10162210055525725&id=153080620724
Donald J. Trump,,"26,февраля,в,01:05","I am pleased to report that the U.S. has made substantial progress in our trade talks with China on important structural issues including intellectual property protection, technology transfer, agriculture, services, currency, and many other issues. As a result of these very productive talks, I will be delaying the U.S. increase in tariffs now scheduled for March 1. Assuming both sides make additional progress, we will be planning a Summit for President Xi and myself, at Mar-a-Lago, to conclude an agreement. A very good weekend for U.S. & China!",28 тыс.,23 тыс.,419,"3,5 тыс.",60,8,45,Комментарии: 2 605,/story.php?story_fbid=10162209198065725&id=153080620724
Donald J. Trump,,"25,февраля,в,22:52",I will VETO any resolution from Congress that does not allow the U.S. to have strong borders!,48 тыс.,40 тыс.,640,"7,9 тыс.",66,10,99,Комментарии: 4 759,/story.php?story_fbid=10162209118225725&id=153080620724
Donald J. Trump,,"27,февраля,в,00:04",Senate Democrats voted against legislation to prevent the killing of newborn infant children. The Democrat position on abortion is now so extreme that they don’t mind executing babies AFTER birth. This will be remembered as one of the most shocking votes in the history of Congress.,63 тыс.,38 тыс.,364,"2,2 тыс.",951,11 тыс.,9 тыс.,Комментарии: 9 153,/story.php?story_fbid=10162213083655725&id=153080620724
